"days_post_imm","CARpos_totalB","CARpos_GCB","CARpos_FoB","CARpos_MZB"
4,401148.37,26403.69663,175268.88621675,25810.98604875
4,480277.44,135834.25632,152851.1320064,47579.026685952
4,731478.6,131792.265,229556.48184,74404.3973022
7,3212330,2167096.224,631170.0342948,106472.67785
7,4017357.8,3131802.474,607704.440892,116135.17030701
7,1979328,1257672.312,403170.950832,68208.664992
7,2081427.6,1158705.43026,624896.13992064,82174.83759198
7,2358467.52,1295802.27168,599423.5886688,116206.276159008
7,1424696,1017170.7,690064.433604,70243.59888
7,3236039.55,2778786.5868,1528196.6860875,151638.284259
7,4886912,3622973.2976,972659.71267776,99223.820930976
7,1301203.2,642098.688,446303.5698528,61926.49681152
9,1701636.3,1610421.1146,557316.0315216,95605.90071552
9,2115248.63,1422265.07159,804026.51172459,86496.734726094
9,2728245,1885733.5629,877962.0931326,120675.0528774
14,2014891,1297622.835,396190.7456906,81779.3653408
14,2645649.6,1803748.408,433475.121024,77622.2891136
14,2932995,1958302.1016,500505.1552878,94738.20402072
14,2847056.6,1628989.339,587676.99648,105607.39275807
14,3378618,2105295,611050.9668,172812.40449
14,3418499.7,2087024.94,640734.8212188,176191.832124
14,2877058,2060522.8875,542099.742525,47396.6988
14,2439044.4,1510485.8496,595016.18706816,54357.00261264
14,5110896,2782589.04,1363445.586048,293382.009648
14,1403528,686255.0156,475729.80161952,132425.847893472
14,1864040.4,1147521.456,450742.01787,90554.82803136
14,2179330.4,1530560.504,460059.691444,102786.463966
14,2369251.2,1730758.08,375944.5332132,66868.17573792
14,5747409.92,3980667.84,1159595.3728128,119368.902312
14,3088044,1435514.99616,1005782.16864888,159327.46548432
17,2536026,1549430.388,507337.360992,115000.514244
17,1871445,1165316.85,333711.05145,122828.357976
17,891907.2,916063.02,321395.97231,101216.864449368
22,1089450,593145,370160.2476,82335.358062
22,1468831.2,761268.2514,452503.7853132,128703.4148304
22,1015786.8,490106.232,328212.92196,145413.68940252
22,2670030,1229869.2186,799440.770016,142528.6821006
22,1153932,530364.9,376692.225,126025.433287
26,1211529.6,570077.352,401930.7785784,93051.58492008
26,1336989.5,595227.7254,462799.828491,144123.786161355
26,1420040,559495.76,564754.9065408,184538.45527992
26,1075865,487148.025,378422.442902,81279.8122612
30,540540,32821.5888,259248.4542648,103332.6966672
30,350350,41713.21,180354.22944,52762.75312
30,655761.6,176828.6376,305844.3854208,85761.71436624
30,904221.5,242093.124,329949.537372,117695.4142455
30,714987,184109.1525,327492.363016,76372.52805
30,648000,201017.7,243138.81375,115171.6482
