Model,AIC,parname,pars,DeltaAIC
BF_M0.1,-59.94,rho,0.171675054,0.78
BF_M0.1,-59.94,delta,0.07060728,0.78
BF_M0.1,-59.94,rho_dko,0.076831244,0.78
BF_M0.1,-59.94,r_eps,2.115915643,0.78
BF_M0.2,-58.54,rho,0.110684686,2.18
BF_M0.2,-58.54,delta,0.031870547,2.18
BF_M0.2,-58.54,rho_dko,0.042854135,2.18
BF_M0.2,-58.54,r_eps,3.962505037,2.18
BF_M1.1,-58.89,rho,0.196021061,1.83
BF_M1.1,-58.89,delta,0.041100239,1.83
BF_M1.1,-58.89,rho_dko,0.106179239,1.83
BF_M1.1,-58.89,r_eps,1.231376966,1.83
BF_M1.1,-58.89,delta_dko,0.084911089,1.83
BF_M1.2,-59.35,rho,0.116988478,1.37
BF_M1.2,-59.35,delta,0.013489991,1.37
BF_M1.2,-59.35,rho_dko,0.061934563,1.37
BF_M1.2,-59.35,r_eps,2.918426094,1.37
BF_M1.2,-59.35,delta_dko,0.045903448,1.37
BF_M1v2.1,-58.94,rho,0.210055137,1.78
BF_M1v2.1,-58.94,delta,0.069276849,1.78
BF_M1v2.1,-58.94,rho_dko,0.108093785,1.78
BF_M1v2.1,-58.94,r_eps,1.24176397,1.78
BF_M1v2.1,-58.94,delta_dko,0.089189774,1.78
BF_M1v2.2,-59.45,rho,0.125694728,1.27
BF_M1v2.2,-59.45,delta,0.031340047,1.27
BF_M1v2.2,-59.45,rho_dko,0.063306573,1.27
BF_M1v2.2,-59.45,r_eps,2.907254287,1.27
BF_M1v2.2,-59.45,delta_dko,0.048738586,1.27
BF_M0v2.1_non,-60.58,rho,0.646364276,0.14
BF_M0v2.1_non,-60.58,delta,0.122072191,0.14
BF_M0v2.1_non,-60.58,rho_dko,0.173319589,0.14
BF_M0v2.1_non,-60.58,r_eps,0.487033974,0.14
BF_M0v2.1,-60.72,rho,0.192868923,0.00
BF_M0v2.1,-60.72,delta,0.078966709,0.00
BF_M0v2.1,-60.72,rho_dko,0.090248636,0.00
BF_M0v2.1,-60.72,r_eps,1.64255675,0.00
BF_M0v2.2_non,-60.13,rho,0.677955812,0.59
BF_M0v2.2_non,-60.13,delta,0.081308486,0.59
BF_M0v2.2_non,-60.13,rho_dko,0.125069186,0.59
BF_M0v2.2_non,-60.13,r_eps,1.086666264,0.59
BF_M0v2.2,-60.55,rho,0.120611342,0.17
BF_M0v2.2,-60.55,delta,0.039380488,0.17
BF_M0v2.2,-60.55,rho_dko,0.050916274,0.17
BF_M0v2.2,-60.55,r_eps,3.460605797,0.17
