Model,parname,pars
M1,rho,0.166355898
M1,delta,0.081646112
M1,rho_dko,0.023788152
M1,alpha,1
M0,rho,0.173351505
M0,delta,5.93E-09
M0,rho_dko,0.022456357
M0,r_eps,15.02930295
M2,rho,0.175996772
M2,delta,0.049852609
M2,rho_dko,0.061229212
M2,alpha,1M3,rho,0.188558935441076
M3,delta,1.11333356103954e-08
M3,rho_dko,0.100610135124271
M3,alpha,0.0773795107472802
M3,rho,0.169782539253657
M3,delta,0.0256697068904558
M3,rho_dko,0.0878537383734541
M3,delta_dko,0.0789723859437957
M4.2,rho,0.169774137538571
M4.2,delta,0.0628510595117643
M4.2,rho_dko,0.0878502708839651
M4.2,delta_dko,0.0812598037983099
M4.2,rho,0.169774137538571
M4.2,delta,0.0628510595117643
M4.2,rho_dko,0.0878502708839651
M4.2,delta_dko,0.0812598037983099
