# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = multiplex_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = datafiles/brdu_stanfit.Rdump
# init = 2 (Default)
# random
#   seed = 1467500003 (Default)
# output
#   file = save_csv/multiplex_model_5.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# mpi_enabled = 1
# stanc_version = stanc3 a7f4b745
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,rho_dko,delta,r_eps,alpha,alpha_dko,lambda,sigma1,sigma2,sigma3,sigma4,y_hat.1.1,y_hat.2.1,y_hat.3.1,y_hat.1.2,y_hat.2.2,y_hat.3.2,y_hat.1.3,y_hat.2.3,y_hat.3.3,y_hat.1.4,y_hat.2.4,y_hat.3.4,y_hat.1.5,y_hat.2.5,y_hat.3.5,y_hat.1.6,y_hat.2.6,y_hat.3.6,y_hat.1.7,y_hat.2.7,y_hat.3.7,y_hat.1.8,y_hat.2.8,y_hat.3.8,y_hat.1.9,y_hat.2.9,y_hat.3.9,y_hat.1.10,y_hat.2.10,y_hat.3.10,y_hat.1.11,y_hat.2.11,y_hat.3.11,y_hat.1.12,y_hat.2.12,y_hat.3.12,largePreB_wt_mean.1,largePreB_wt_mean.2,largePreB_wt_mean.3,largePreB_wt_mean.4,largePreB_wt_mean.5,largePreB_wt_mean.6,largePreB_wt_mean.7,largePreB_wt_mean.8,largePreB_wt_mean.9,largePreB_wt_mean.10,largePreB_wt_mean.11,largePreB_wt_mean.12,largePreB_wt_mean.13,largePreB_wt_mean.14,largePreB_wt_mean.15,largePreB_wt_mean.16,largePreB_wt_mean.17,largePreB_wt_mean.18,largePreB_wt_mean.19,largePreB_wt_mean.20,largePreB_wt_mean.21,largePreB_dko_mean.1,largePreB_dko_mean.2,largePreB_dko_mean.3,largePreB_dko_mean.4,largePreB_dko_mean.5,largePreB_dko_mean.6,largePreB_dko_mean.7,largePreB_dko_mean.8,largePreB_dko_mean.9,largePreB_dko_mean.10,largePreB_dko_mean.11,largePreB_dko_mean.12,largePreB_dko_mean.13,largePreB_dko_mean.14,largePreB_dko_mean.15,largePreB_dko_mean.16,largePreB_dko_mean.17,largePreB_dko_mean.18,largePreB_dko_mean.19,largePreB_dko_mean.20,smallPreB_wt_mean.1,smallPreB_wt_mean.2,smallPreB_wt_mean.3,smallPreB_wt_mean.4,smallPreB_wt_mean.5,smallPreB_wt_mean.6,smallPreB_wt_mean.7,smallPreB_wt_mean.8,smallPreB_wt_mean.9,smallPreB_wt_mean.10,smallPreB_wt_mean.11,smallPreB_wt_mean.12,smallPreB_wt_mean.13,smallPreB_wt_mean.14,smallPreB_wt_mean.15,smallPreB_wt_mean.16,smallPreB_wt_mean.17,smallPreB_wt_mean.18,smallPreB_wt_mean.19,smallPreB_wt_mean.20,smallPreB_wt_mean.21,smallPreB_dko_mean.1,smallPreB_dko_mean.2,smallPreB_dko_mean.3,smallPreB_dko_mean.4,smallPreB_dko_mean.5,smallPreB_dko_mean.6,smallPreB_dko_mean.7,smallPreB_dko_mean.8,smallPreB_dko_mean.9,smallPreB_dko_mean.10,smallPreB_dko_mean.11,smallPreB_dko_mean.12,smallPreB_dko_mean.13,smallPreB_dko_mean.14,smallPreB_dko_mean.15,smallPreB_dko_mean.16,smallPreB_dko_mean.17,smallPreB_dko_mean.18,smallPreB_dko_mean.19,smallPreB_dko_mean.20,parms.1,parms.2,parms.3,parms.4,parms.5,parms.6,parms.7,init_cond.1,init_cond.2,init_cond.3,init_cond.4,init_cond.5,init_cond.6,init_cond.7,init_cond.8,init_cond.9,init_cond.10,init_cond.11,init_cond.12
# Adaptation terminated
# Step size = 0.473427
# Diagonal elements of inverse mass matrix:
# 0.237807, 3.06191, 2.67924, 0.0112898, 0.0842091, 1.14434, 2.51713, 0.0234619, 0.0254082, 0.0350836, 0.0303804
72.0058,0.962648,0.473427,3,15,0,-58.8003,0.533212,0.335682,0.138373,3.6745,1.35407,0.887551,0.760521,0.425976,0.1532,0.276012,0.0948756,0,142.432,88.6029,0,5772.75,5642.72,372151,16717.6,16901.5,0,9.91166,6.23898,0,626.868,618.045,83027,1811.99,1824.48,0,1.29108e+10,6.5653e+12,0,6.06285e+10,5.22657e+13,4.31818e+06,1.4124e+11,2.07435e+14,0,391524,727438,0,1.79463e+06,5.71037e+06,607546,4.05918e+06,2.23065e+07,0,0,0,0,0,0,0,0.261354,0.261354,0.261354,0.261354,0.261354,0.261354,0.261354,0.253231,0.253231,0.253231,0.253231,0.253231,0.253231,0.253231,0,0,0,0,0,0,0,0.260041,0.260041,0.260041,0.260041,0.260041,0.260041,0.260041,0.254938,0.254938,0.254938,0.254938,0.254938,0.254938,0,0,0,0,0,0,0,0.342394,0.342394,0.342394,0.342394,0.342394,0.342394,0.342394,0.220948,0.220948,0.220948,0.220948,0.220948,0.220948,0.220948,0,0,0,0,0,0,0,0.350046,0.350046,0.350046,0.350046,0.350046,0.350046,0.350046,0.223968,0.223968,0.223968,0.223968,0.223968,0.223968,3.6745,0.533212,0.138373,0.335682,1.35407,0.760521,0.887551,0,0,372151,0,0,83027,0,0,4.31818e+06,0,0,607546
73.6959,0.970337,0.473427,3,7,0,-68.864,0.583201,0.405673,0.0720699,3.45335,1.00265,0.542811,0.40407,0.480036,0.129733,0.336372,0.128224,0,191.493,118.482,0,7508.36,7329.51,372151,21863,22114.8,0,19.265,12.0427,0,1068.37,1050.82,83027,3101.5,3126.27,0,1.337e+10,7.0743e+12,0,6.57206e+10,5.93652e+13,4.31818e+06,1.59798e+11,2.48123e+14,0,488133,996937,0,2.26302e+06,8.09799e+06,607546,5.11641e+06,3.26172e+07,0,0,0,0,0,0,0,0.260457,0.260457,0.260457,0.260457,0.260457,0.260457,0.260457,0.251938,0.251938,0.251938,0.251938,0.251938,0.251938,0.251938,0,0,0,0,0,0,0,0.259632,0.259632,0.259632,0.259632,0.259632,0.259632,0.259632,0.25372,0.25372,0.25372,0.25372,0.25372,0.25372,0,0,0,0,0,0,0,0.331077,0.331077,0.331077,0.331077,0.331077,0.331077,0.331077,0.211212,0.211212,0.211212,0.211212,0.211212,0.211212,0.211212,0,0,0,0,0,0,0,0.349683,0.349683,0.349683,0.349683,0.349683,0.349683,0.349683,0.218041,0.218041,0.218041,0.218041,0.218041,0.218041,3.45335,0.583201,0.0720699,0.405673,1.00265,0.40407,0.542811,0,0,372151,0,0,83027,0,0,4.31818e+06,0,0,607546
69.6974,0.861536,0.473427,3,7,0,-66.6431,0.881788,0.146902,0.0181465,3.55802,1.05262,0.713858,0.661177,0.634284,0.131942,0.285634,0.142909,0,1257.96,742.682,0,22015.8,20735,372151,64103.2,65899.3,0,6.53376,4.1268,0,621.162,615.386,83027,1794.59,1802.78,0,3.78825e+08,1.68081e+10,0,1.81311e+09,1.37139e+11,4.31818e+06,4.29417e+09,5.57364e+11,0,99268.4,74422.9,0,461316,597225,607546,1.0536e+06,2.38137e+06,0,0,0,0,0,0,0,0.26636,0.26636,0.26636,0.26636,0.26636,0.26636,0.26636,0.245805,0.245805,0.245805,0.245805,0.245805,0.245805,0.245805,0,0,0,0,0,0,0,0.259133,0.259133,0.259133,0.259133,0.259133,0.259133,0.259133,0.255755,0.255755,0.255755,0.255755,0.255755,0.255755,0,0,0,0,0,0,0,0.337943,0.337943,0.337943,0.337943,0.337943,0.337943,0.337943,0.216427,0.216427,0.216427,0.216427,0.216427,0.216427,0.216427,0,0,0,0,0,0,0,0.347287,0.347287,0.347287,0.347287,0.347287,0.347287,0.347287,0.219995,0.219995,0.219995,0.219995,0.219995,0.219995,3.55802,0.881788,0.0181465,0.146902,1.05262,0.661177,0.713858,0,0,372151,0,0,83027,0,0,4.31818e+06,0,0,607546
66.5045,0.913833,0.473427,3,7,0,-59.3322,0.876717,0.372801,0.0262077,3.37267,1.65816,0.386333,0.103024,0.631808,0.114775,0.193307,0.161631,0,69.8128,43.8318,0,4698.36,4635.24,372151,13640.3,13729.4,0,2.68737,1.70577,0,417.481,415.126,83027,1205.8,1209.14,0,3.60864e+17,1.8691e+25,0,1.86104e+18,1.62883e+26,4.31818e+06,4.77095e+18,7.08184e+26,0,6.8554e+06,7.52825e+07,0,3.0626e+07,6.05926e+08,607546,6.56022e+07,2.40702e+09,0,0,0,0,0,0,0,0.259021,0.259021,0.259021,0.259021,0.259021,0.259021,0.259021,0.254181,0.254181,0.254181,0.254181,0.254181,0.254181,0.254181,0,0,0,0,0,0,0,0.258411,0.258411,0.258411,0.258411,0.258411,0.258411,0.258411,0.256358,0.256358,0.256358,0.256358,0.256358,0.256358,0,0,0,0,0,0,0,0.317739,0.317739,0.317739,0.317739,0.317739,0.317739,0.317739,0.204072,0.204072,0.204072,0.204072,0.204072,0.204072,0.204072,0,0,0,0,0,0,0,0.363602,0.363602,0.363602,0.363602,0.363602,0.363602,0.363602,0.220582,0.220582,0.220582,0.220582,0.220582,0.220582,3.37267,0.876717,0.0262077,0.372801,1.65816,0.103024,0.386333,0,0,372151,0,0,83027,0,0,4.31818e+06,0,0,607546
72.5209,0.989168,0.473427,3,7,0,-61.8822,1.43812,0.322339,0.157507,3.99374,1.15197,0.727795,0.550151,0.49163,0.141747,0.245037,0.171522,0,1395.2,824.363,0,21370.4,20019.6,372151,60809.1,62730.7,0,8.26704,5.23154,0,515.353,508.138,83027,1483.56,1493.82,0,1.97429e+10,1.11822e+13,0,8.46481e+10,8.1532e+13,4.31818e+06,1.79642e+11,2.96122e+14,0,1.14515e+06,3.91259e+06,0,4.75227e+06,2.79992e+07,607546,9.68456e+06,9.95444e+07,0,0,0,0,0,0,0,0.272398,0.272398,0.272398,0.272398,0.272398,0.272398,0.272398,0.249405,0.249405,0.249405,0.249405,0.249405,0.249405,0.249405,0,0,0,0,0,0,0,0.260873,0.260873,0.260873,0.260873,0.260873,0.260873,0.260873,0.255766,0.255766,0.255766,0.255766,0.255766,0.255766,0,0,0,0,0,0,0,0.367532,0.367532,0.367532,0.367532,0.367532,0.367532,0.367532,0.238441,0.238441,0.238441,0.238441,0.238441,0.238441,0.238441,0,0,0,0,0,0,0,0.378477,0.378477,0.378477,0.378477,0.378477,0.378477,0.378477,0.242756,0.242756,0.242756,0.242756,0.242756,0.242756,3.99374,1.43812,0.157507,0.322339,1.15197,0.550151,0.727795,0,0,372151,0,0,83027,0,0,4.31818e+06,0,0,607546
73.1395,0.99983,0.473427,3,7,0,-69.7058,0.475945,0.418184,0.146325,4.19075,1.03101,0.638913,0.0174477,0.391385,0.125574,0.253666,0.131739,0,40.818,25.9836,0,2760.09,2725,372151,7930.22,7980.14,0,6.58737,4.20251,0,505.471,499.827,83027,1452.6,1460.63,0,3.03581e+13,2.41628e+18,0,1.23283e+14,1.67286e+19,4.31818e+06,2.4735e+14,5.76529e+19,0,3.80888e+09,2.67314e+12,0,1.4869e+10,1.80975e+13,607546,2.83842e+10,6.07862e+13,0,0,0,0,0,0,0,0.261008,0.261008,0.261008,0.261008,0.261008,0.261008,0.261008,0.256356,0.256356,0.256356,0.256356,0.256356,0.256356,0.256356,0,0,0,0,0,0,0,0.260635,0.260635,0.260635,0.260635,0.260635,0.260635,0.260635,0.256548,0.256548,0.256548,0.256548,0.256548,0.256548,0,0,0,0,0,0,0,0.383153,0.383153,0.383153,0.383153,0.383153,0.383153,0.383153,0.24929,0.24929,0.24929,0.24929,0.24929,0.24929,0.24929,0,0,0,0,0,0,0,0.396877,0.396877,0.396877,0.396877,0.396877,0.396877,0.396877,0.254677,0.254677,0.254677,0.254677,0.254677,0.254677,4.19075,0.475945,0.146325,0.418184,1.03101,0.0174477,0.638913,0,0,372151,0,0,83027,0,0,4.31818e+06,0,0,607546
